"Movie_ID","Movie","Release_date","Distributor","MPAA_rating","Runtime","Production_budget","Genre1","Genre2","Genre3","imdb.com_rating","Country","Opening_revenues","Opening_screens","Opening_revenues_indexed","Opening_screens_indexed","Opening_revenues_indexed_transformed","Opening_screens_indexed_transformed"
1,"42","4/12/2013","WB","PG-13",128,40,"Biography","Drama","Sport",7.5,"Netherlands",NA,NA,NA,NA,NA,NA
1,"42","4/12/2013","WB","PG-13",128,40,"Biography","Drama","Sport",7.5,"USA",27487144,3003,0.157840934,0.706089819,-1.67438113,0.876468238
2,"2012","11/13/2009","Sony","PG-13",158,200,"Action","Adventure","Sci-Fi",5.8,"Netherlands",1880951,127,0.527032631,0.529166667,0.108236066,0.116799268
2,"2012","11/13/2009","Sony","PG-13",158,200,"Action","Adventure","Sci-Fi",5.8,"USA",65237614,3404,0.456720864,0.787052023,-0.173550849,1.307246453
3,"(500) Days of Summer","7/17/2009","FoxS","PG-13",95,7.5,"Comedy","Drama","Romance",7.8,"Netherlands",60289,15,0.016892662,0.0625,-4.063838956,-2.708050201
3,"(500) Days of Summer","7/17/2009","FoxS","PG-13",95,7.5,"Comedy","Drama","Romance",7.8,"USA",834501,27,0.005842243,0.006242775,-5.136781043,-5.070068211
4,"17 Again","4/17/2009","WB (NL)","PG-13",102,NA,"Comedy","Drama","Fantasy",6.4,"Netherlands",307757,70,0.086231902,0.291666667,-2.360536621,-0.887303195
4,"17 Again","4/17/2009","WB (NL)","PG-13",102,NA,"Comedy","Drama","Fantasy",6.4,"USA",23722310,3255,0.166077103,0.752601156,-1.613688795,1.112533627
5,"2 Guns","8/2/2013","Uni.","R",109,61,"Action","Comedy","Crime",6.8,"Netherlands",501591,75,0.206717023,0.296442688,-1.344829185,-0.864295437
5,"2 Guns","8/2/2013","Uni.","R",109,61,"Action","Comedy","Crime",6.8,"USA",27059130,3025,0.155383126,0.711262638,-1.692989273,0.901524262
6,"21 and Over","3/1/2013","Rela.","R",93,13,"Comedy"," "," ",5.9,"Netherlands",345545,46,0.142406928,0.181818182,-1.79544106,-1.504077397
6,"21 and Over","3/1/2013","Rela.","R",93,13,"Comedy"," "," ",5.9,"USA",8754168,2771,0.050269539,0.651540089,-2.938778913,0.625815739
7,"21 Jump Street","3/16/2012","Sony","R",109,42,"Action","Comedy","Crime",7.2,"Netherlands",430689,79,0.113185308,0.285198556,-2.058609673,-0.918819178
7,"21 Jump Street","3/16/2012","Sony","R",109,42,"Action","Comedy","Crime",7.2,"USA",36302612,3121,0.17500404,0.708673933,-1.550569428,0.888952378
8,"22 Jump Street","6/13/2014","Sony","R",112,50,"Action","Comedy","Crime",7.1,"Netherlands",715187,86,0.310355796,0.380530973,-0.79845645,-0.487295126
8,"22 Jump Street","6/13/2014","Sony","R",112,50,"Action","Comedy","Crime",7.1,"USA",57071445,3306,0.468191573,0.764569843,-0.127405769,1.177899081
9,"3 Days to Kill","2/21/2014","Rela.","PG-13",117,28,"Action","Drama","Thriller",6.2,"Netherlands",243646,43,0.105730317,0.190265487,-2.135115715,-1.448286037
9,"3 Days to Kill","2/21/2014","Rela.","PG-13",117,28,"Action","Drama","Thriller",6.2,"USA",12242218,2872,0.100430317,0.664199815,-2.192452397,0.682066735
10,"30 Minutes or Less","8/12/2011","Sony","R",83,28,"Action","Comedy","Crime",6.1,"Netherlands",NA,NA,NA,NA,NA,NA
10,"30 Minutes or Less","8/12/2011","Sony","R",83,28,"Action","Comedy","Crime",6.1,"USA",13330118,2888,0.078788127,0.660114286,-2.458927749,0.663803554
11,"300: Rise of An Empire","3/7/2014","WB","R",102,110,"Action","Drama","Fantasy",6.3,"Netherlands",1020955,89,0.44304399,0.39380531,-0.228817197,-0.431344556
11,"300: Rise of An Empire","3/7/2014","WB","R",102,110,"Action","Drama","Fantasy",6.3,"USA",45038460,3470,0.369477721,0.802497687,-0.534458047,1.401978679
12,"47 Ronin","12/25/2013","Uni.","PG-13",127,175,"Action","Adventure","Drama",6.3,"Netherlands",431988,67,0.178032048,0.264822134,-1.529737825,-1.021054054
12,"47 Ronin","12/25/2013","Uni.","PG-13",127,175,"Action","Adventure","Drama",6.3,"USA",9910310,2689,0.056908517,0.632259581,-2.807718285,0.541922735
13,"A Good Day to Die Hard","2/14/2013","Fox","R",97,92,"Action","Crime","Thriller",5.3,"Netherlands",932205,100,0.384182814,0.395256917,-0.471831625,-0.425267735
13,"A Good Day to Die Hard","2/14/2013","Fox","R",97,92,"Action","Crime","Thriller",5.3,"USA",24834845,3553,0.142610492,0.835410299,-1.793775233,1.624467261
14,"A Haunted House","1/11/2013","ORF","R",80,2.5,"Comedy","Horror"," ",5,"Netherlands",214193,39,0.088273791,0.154150198,-2.334896487,-1.702414369
14,"A Haunted House","1/11/2013","ORF","R",80,2.5,"Comedy","Horror"," ",5,"USA",18101682,2160,0.103946281,0.507876793,-2.154126127,0.031509778
15,"A Haunted House 2","4/18/2014","ORF","R",87,4,"Comedy","Horror"," ",4.7,"Netherlands",89181,39,0.038700145,0.172566372,-3.212443051,-1.567546971
15,"A Haunted House 2","4/18/2014","ORF","R",87,4,"Comedy","Horror"," ",4.7,"USA",8843875,2310,0.072551654,0.534227567,-2.54813832,0.13712473
16,"A Million Ways to Die in the West","5/30/2014","Uni.","R",116,40,"Comedy","Western"," ",6.1,"Netherlands",329769,75,0.143103441,0.331858407,-1.789749479,-0.699791723
16,"A Million Ways to Die in the West","5/30/2014","Uni.","R",116,40,"Comedy","Western"," ",6.1,"USA",16797385,3158,0.137799106,0.730342276,-1.833691428,0.996359828
17,"A Nightmare on Elm Street (2010)","4/30/2010","WB (NL)","R",90,35,"Horror","Mystery","Thriller",5.2,"Netherlands",84419,27,0.027740928,0.1125,-3.556713443,-2.0654553
17,"A Nightmare on Elm Street (2010)","4/30/2010","WB (NL)","R",90,35,"Horror","Mystery","Thriller",5.2,"USA",32902299,3332,0.256803482,0.745747538,-1.062649371,1.076059404
